,Zone 1 (GWh),Zone 2 (GWh),Zone 3 (GWh),Zone 4 (GWh),Zone 5 (GWh),Zone 6 (GWh),Zone 7 (GWh)
Jan,385.86,501.21,504.98,385.7,408.91,359.59,375.97
Feb,339.93,451.7,459.9,341.88,367.62,320.2,338.89
Mar,403.93,520.7,522.72,402.95,425.17,375.1,390.56
Apr,373.0,487.34,492.35,373.43,397.35,348.56,365.58
May,324.34,434.9,444.59,327.01,353.61,306.83,326.31
Jun,291.01,398.96,411.87,295.2,323.63,278.23,299.39
Jul,282.3,389.58,403.32,286.9,315.81,270.76,292.37
Aug,292.57,400.64,413.4,296.69,325.04,279.57,300.65
Sept,311.49,421.05,431.98,314.75,342.05,295.8,315.93
Oct,343.78,455.84,463.67,345.55,371.08,323.49,341.99
Nov,375.07,489.59,494.39,375.41,399.22,350.34,367.26
Dec,398.91,515.28,517.79,398.16,420.65,370.79,386.51
